Priority,Code,Name,Entries,Description
1_BLOCKER,"GT003","DatabaseIdentifierWithoutIdentifier",0,"DatabaseIdentifier class instances where the identifier slot is empty"
1_BLOCKER,"GT005","PathwaysWithoutEvents",0,"Pathway class instances where the hasEvent slot is empty"
1_BLOCKER,"GT006","EwasWithoutReferenceEntity",0,"EWAS class instances where the referenceEntity slot is empty"
1_BLOCKER,"GT007","EntitiesWithoutStId",0,"Event, PhysicalEntity or Regulation classes intances where stableIdentifier slot is empty"
1_BLOCKER,"GT009","ComplexWithoutComponents",0,"Complexes instances where the hasComponent slot is empty"
1_BLOCKER,"GT012","SimpleEntityWithoutReferenceEntity",0,"SimpleEntity class instances where referenceEntity slot is empty"
1_BLOCKER,"GT013","ReferenceEntityWithoutIdentifier",0,"ReferenceEntity class instances where the identifier slot is empty"
2_HIGH,"GT004","EntriesWithoutDisplayName",14,"The instance's displayName slot is empty"
2_HIGH,"GT010","EntitySetWithoutMemberOrCandidate",17,"EntitySet instances where both hasMember and hasCandidate slots are empty"
2_HIGH,"GT011","PolymerWithoutRepeatedUnit",0,"Polymer class instances where the repeatedUnit slot is empty"
2_HIGH,"GT015","CatalystActivityWithoutPhysicalEntity",0,"CatalystActivity class instances where the physicalEntity slot is empty"
2_HIGH,"GT016","CatalystActivityWithoutActivity",0,"CatalystActivity class instances where the activity slot is empty"
2_HIGH,"GT017","NOT_FailedReactionsWithoutOutputs",248,"ReactionLikeEvent class instance (excluding FailedReaction class instances) where the output slot is empty"
2_HIGH,"GT019","PublicationsWithoutAuthor",0,"Publication class instances where the author slot is empty"
2_HIGH,"GT021","RegulationsWithoutRegulatedEntityOrRegulator",0,"Regulation class instances where the regulatedEntity or the regulator slots is empty (either of them or both)"
2_HIGH,"GT022","PhysicalEntityWithoutCompartment",0,"PhysicalEntity class instances where the compartment slot is empty"
2_HIGH,"GT024","ReferenceDatabaseWithoutUrls",0,"ReferenceDatabase class instances where accessUrl slot or url slot are empty (either of them or both)"
2_HIGH,"GT028","HasMemberAndHasCandidatePointToSameEntry",0,"CandidateSet class instances where at least one instance in the hasCandidate slot points to an instance used in the hasMember slot"
2_HIGH,"GT029","ReactionsLikeEventWithoutInput",45,"ReactionLikeEvent instances where the input slot is empty"
2_HIGH,"GT037","LiteratureReferenceRelationshipDuplication",0,"DatabaseObject class instances where the literatureReference slot contains duplicated entries"
2_HIGH,"GT038","HasModifiedResidueRelationshipDuplication",0,"DatabaseObject class instances where the hasModifiedResidue slot contains duplicated entries and the coordinate is not empty"
2_HIGH,"GT040","HasMemberRelationshipDuplication",0,"DatabaseObject class instances where the hasMember slot contains duplicated entries"
2_HIGH,"GT043","HasCandidateRelationshipDuplication",0,"CandidateSet class instances where the hasCandidate slot contains duplicated entries"
2_HIGH,"GT044","HasEventRelationshipDuplication",0,"Event class instances where the hasEvent slot contains duplicated entries"
2_HIGH,"GT050","DuplicatedLiteratureReferences",0,"Different instances of the LiteratureReference class with the same PubMed identifier"
2_HIGH,"GT055","DuplicatedCuratedComplexes",280,"Two different instances of the class Complex that have the same instances in the hasComponent slot"
2_HIGH,"GT057","ComplexesWithOnlyOneComponent",0,"Complex class instances with only one entry in the hasComponent slot"
2_HIGH,"GT058","ComplexesWhereCompartmentDoesNotMatchWithAnyOfTheParticipants",446,"Complexes where the compartment does not matc wWith any of the participants"
2_HIGH,"GT059","DuplicatedCandidateSets",80,"Two different instances of the class CandidateSet that have the same instances in the hasMember and hasComponent slots"
2_HIGH,"GT062","DuplicatedReferenceEntities",26,"Two different instances of the class ReferenceEntity that have the same content"
